year	site	plotid	depth	subsample	rep	rotation	crop	tillage	drainage	SOIL1	SOIL2	SOIL39	SOIL29	SOIL30	SOIL31	SOIL32
2013	SERF	7S	0 - 10	1	1	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	7S	0 - 10	1	1	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	7S	0 - 10	E43	1	ROT4	Corn	TILTIL2	DWM1	1.246416	0.53	0.52	0.34500987	0.344635278	0.344635278	0.12058
2015	SERF	7S	0 - 10	G52	1	ROT4	Corn	TILTIL2	DWM1	1.400953813	0.471	0.465	0.223084	0.223055154	0.22040488	0.04095
2013	SERF	7S	0 - 10	K58	1	ROT4	Corn	TILTIL2	DWM1	1.34	0.494	0.476	0.38	0.37	0.35	DNC
2015	SERF	7S	0 - 10	P3	1	ROT4	Corn	TILTIL2	DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	7S	0 - 10	P53	1	ROT4	Corn	TILTIL2	DWM1	1.44	0.457	0.432	0.34	0.34	0.34	0.10816
2013	SERF	7S	0 - 10	P89	1	ROT4	Corn	TILTIL2	DWM1	1.19	0.58	0.553	0.3	0.29	0.28	DNC
2011	SERF	7S	0 - 10	i82	1	ROT4	Corn	TILTIL2	DWM1	1.28	0.5		0.38	0.37	0.36	0.14
2011	SERF	7S	0 - 10	i88	1	ROT4	Corn	TILTIL2	DWM1	1.29	0.43		0.35	0.35	0.34	0.16
2011	SERF	7S	0 - 10	i94	1	ROT4	Corn	TILTIL2	DWM1	1.33	0.49		0.45	0.44	0.42	0.15
2011	SERF	7S	0 - 10	j76	1	ROT4	Corn	TILTIL2	DWM1	1.3	0.46		0.42	0.41	0.4	0.16
2011	SERF	7S	0 - 30	1	1	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	7S	0 - 30	1	1	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	7S	0 - 30	1	1	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	7S	0 - 30	1	1	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	7S	20-Oct	1	1	ROT4	Corn	TILTIL2	DWM1	1.47	N/A		0.45	0.44	0.43	0.09
2013	SERF	7S	20-Oct	1	1	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	7S	20-Oct	1	1	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	7S	20-Oct	2	1	ROT4	Corn	TILTIL2	DWM1	1.39	N/A		0.48	0.48	0.47	0.11
2011	SERF	7S	20-Oct	3	1	ROT4	Corn	TILTIL2	DWM1	1.38	N/A		0.48	0.48	0.47	0.11
2013	SERF	7S	20-Oct	D84	1	ROT4	Corn	TILTIL2	DWM1	1.4	0.473	N/A	0.39	0.39	0.39	0.1344
2015	SERF	7S	20-Oct	G28	1	ROT4	Corn	TILTIL2	DWM1	1.277841225	0.518	N/A	0.438736	0.429685946	0.424887726	0.11496
2013	SERF	7S	20-Oct	H74	1	ROT4	Corn	TILTIL2	DWM1	1.23	0.537	N/A	0.35	0.35	0.35	0.11754
2015	SERF	7S	20-Oct	M22	1	ROT4	Corn	TILTIL2	DWM1	1.221130804	0.539	N/A	0.410425	0.397797541	0.373344126	0.15069
2015	SERF	7S	20-Oct	M66	1	ROT4	Corn	TILTIL2	DWM1	1.415	0.466	N/A	0.400114887	0.397867333	0.38288364	0.13848
2013	SERF	7S	20-Oct	P57	1	ROT4	Corn	TILTIL2	DWM1	1.39	0.477	N/A	0.35	0.35	0.35	DNC
2011	SERF	7S	20 - 40	1	1	ROT4	Corn	TILTIL2	DWM1	1.364	DNC		DNC	DNC	DNC	DNC
2013	SERF	7S	20 - 40	1	1	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	7S	20 - 40	1	1	ROT4	Corn	TILTIL2	DWM1	1.240375	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	20 - 40	2	1	ROT4	Corn	TILTIL2	DWM1	1.329	DNC		DNC	DNC	DNC	DNC
2015	SERF	7S	20 - 40	2	1	ROT4	Corn	TILTIL2	DWM1	1.338788	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	20 - 40	3	1	ROT4	Corn	TILTIL2	DWM1	1.393	DNC		DNC	DNC	DNC	DNC
2015	SERF	7S	20 - 40	3	1	ROT4	Corn	TILTIL2	DWM1	1.334456	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	20 - 40	4	1	ROT4	Corn	TILTIL2	DWM1	1.366	DNC		DNC	DNC	DNC	DNC
2011	SERF	7S	30 - 60	1	1	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	7S	30 - 60	1	1	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	7S	30 - 60	1	1	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	7S	30 - 60	1	1	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	7S	40 - 60	1	1	ROT4	Corn	TILTIL2	DWM1	1.397	DNC		DNC	DNC	DNC	DNC
2013	SERF	7S	40 - 60	1	1	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	7S	40 - 60	1	1	ROT4	Corn	TILTIL2	DWM1	1.278641	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	40 - 60	2	1	ROT4	Corn	TILTIL2	DWM1	1.427	DNC		DNC	DNC	DNC	DNC
2015	SERF	7S	40 - 60	2	1	ROT4	Corn	TILTIL2	DWM1	1.271971	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	40 - 60	3	1	ROT4	Corn	TILTIL2	DWM1	1.371	DNC		DNC	DNC	DNC	DNC
2015	SERF	7S	40 - 60	3	1	ROT4	Corn	TILTIL2	DWM1	1.408943	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	7S	40 - 60	4	1	ROT4	Corn	TILTIL2	DWM1	1.394	DNC		DNC	DNC	DNC	DNC
2011	SERF	7S	60 - 90	1	1	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	7S	60 - 90	1	1	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	7S	60 - 90	1	1	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	7S	60 - 90	1	1	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	7S		1	1	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	7S		1	1	ROT4	Soybean	TILTIL2	DWM1							
2013	SERF	7S		1	1	ROT4	Corn	TILTIL2	DWM1							
2014	SERF	7S		1	1	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	7S		1	1	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8C	0 - 10	1	2	ROT1	Corn		DWM1	1.14	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	0 - 10	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	0 - 10	1	2	ROT1	Corn		DWM1	1.342534	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	0 - 10	2	2	ROT1	Corn		DWM1	1.29	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	0 - 10	2	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8C	0 - 10	2	2	ROT1	Corn		DWM1	1.433441	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	0 - 10	3	2	ROT1	Corn		DWM1	0.91	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	0 - 10	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8C	0 - 10	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8C	0 - 10	C74	2	ROT1	Corn		DWM1	1.36	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	0 - 30	1	2	ROT1	Corn		DWM1							
2012	SERF	8C	0 - 30	1	2	ROT1	Corn		DWM1							
2014	SERF	8C	0 - 30	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	0 - 30	1	2	ROT1	Corn		DWM1							
2011	SERF	8C	20-Oct	1	2	ROT1	Corn		DWM1	1.49	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	20-Oct	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	20-Oct	1	2	ROT1	Corn		DWM1	1.360259	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	20-Oct	2	2	ROT1	Corn		DWM1	1.47	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	20-Oct	2	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8C	20-Oct	2	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	20-Oct	3	2	ROT1	Corn		DWM1	1.48	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	20-Oct	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8C	20-Oct	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8C	20-Oct	D82	2	ROT1	Corn		DWM1	1.47	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	20 - 40	1	2	ROT1	Corn		DWM1	1.372	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	20 - 40	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	20 - 40	1	2	ROT1	Corn		DWM1	1.321648	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	20 - 40	2	2	ROT1	Corn		DWM1	1.319	DNC		DNC	DNC	DNC	DNC
2015	SERF	8C	20 - 40	2	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	20 - 40	3	2	ROT1	Corn		DWM1	1.429	DNC		DNC	DNC	DNC	DNC
2015	SERF	8C	20 - 40	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	30 - 60	1	2	ROT1	Corn		DWM1							
2012	SERF	8C	30 - 60	1	2	ROT1	Corn		DWM1							
2014	SERF	8C	30 - 60	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	30 - 60	1	2	ROT1	Corn		DWM1							
2011	SERF	8C	40 - 60	1	2	ROT1	Corn		DWM1	1.446	DNC		DNC	DNC	DNC	DNC
2013	SERF	8C	40 - 60	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	40 - 60	1	2	ROT1	Corn		DWM1	1.373731	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	40 - 60	2	2	ROT1	Corn		DWM1	1.434	DNC		DNC	DNC	DNC	DNC
2015	SERF	8C	40 - 60	2	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	40 - 60	3	2	ROT1	Corn		DWM1	1.411	DNC		DNC	DNC	DNC	DNC
2015	SERF	8C	40 - 60	3	2	ROT1	Corn		DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8C	60 - 90	1	2	ROT1	Corn		DWM1							
2012	SERF	8C	60 - 90	1	2	ROT1	Corn		DWM1							
2014	SERF	8C	60 - 90	1	2	ROT1	Corn		DWM1							
2015	SERF	8C	60 - 90	1	2	ROT1	Corn		DWM1							
2011	SERF	8C		1	2	ROT1	Corn		DWM1							
2012	SERF	8C		1	2	ROT1	Corn		DWM1							
2013	SERF	8C		1	2	ROT1	Corn		DWM1							
2014	SERF	8C		1	2	ROT1	Corn		DWM1							
2015	SERF	8C		1	2	ROT1	Corn		DWM1							
2011	SERF	8N	0 - 10	1	2	ROT4	Corn	TILTIL2	DWM1							
2013	SERF	8N	0 - 10	1	2	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	8N	0 - 10	1	2	ROT4	Corn	TILTIL2	DWM1							
2013	SERF	8N	0 - 10	3	2	ROT4	Corn	TILTIL2	DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8N	0 - 10	D76	2	ROT4	Corn	TILTIL2	DWM1	1.044593	0.606	0.592	0.32423899	0.323950841	0.323893212	0.14882
2015	SERF	8N	0 - 10	F58	2	ROT4	Corn	TILTIL2	DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8N	0 - 10	G22	2	ROT4	Corn	TILTIL2	DWM1	1.06	0.602	0.526	0.35	0.34	0.33	0.15955
2013	SERF	8N	0 - 10	G37	2	ROT4	Corn	TILTIL2	DWM1	1.48	0.44	0.427	0.39	0.39	0.38	0.11776
2015	SERF	8N	0 - 10	P60	2	ROT4	Corn	TILTIL2	DWM1	0.967349369	0.635	0.606	0.361549	0.349121575	0.322773468	0.12206
2011	SERF	8N	0 - 10	g93	2	ROT4	Corn	TILTIL2	DWM1	1.05	0.53		0.37	0.36	0.34	0.17
2011	SERF	8N	0 - 10	h69	2	ROT4	Corn	TILTIL2	DWM1	1.26	0.42		0.33	0.32	0.3	0.18
2011	SERF	8N	0 - 10	h77	2	ROT4	Corn	TILTIL2	DWM1	1.31	0.37		0.29	0.28	0.27	0.16
2011	SERF	8N	0 - 10	h86	2	ROT4	Corn	TILTIL2	DWM1	1.33	0.43		0.35	0.35	0.34	0.17
2011	SERF	8N	0 - 30	1	2	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	8N	0 - 30	1	2	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	8N	0 - 30	1	2	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	8N	0 - 30	1	2	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8N	20-Oct	1	2	ROT4	Corn	TILTIL2	DWM1	1.41	N/A		0.47	0.47	0.46	0.14
2013	SERF	8N	20-Oct	1	2	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	8N	20-Oct	1	2	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8N	20-Oct	2	2	ROT4	Corn	TILTIL2	DWM1	1.37	N/A		0.48	0.48	0.47	0.14
2011	SERF	8N	20-Oct	3	2	ROT4	Corn	TILTIL2	DWM1	1.32	N/A		0.5	0.5	0.49	0.12
2015	SERF	8N	20-Oct	G20	2	ROT4	Corn	TILTIL2	DWM1	1.114422	0.579	N/A	0.5791549	0.579154902	0.570568093	0.14723
2013	SERF	8N	20-Oct	G26	2	ROT4	Corn	TILTIL2	DWM1	1.2	0.547	N/A	0.36	0.36	0.35	0.14262
2013	SERF	8N	20-Oct	G83	2	ROT4	Corn	TILTIL2	DWM1	1.32	0.503	N/A	0.37	0.37	0.37	0.13547
2013	SERF	8N	20-Oct	I80	2	ROT4	Corn	TILTIL2	DWM1	1.39	0.476	N/A	0.32	0.32	0.32	0.12126
2015	SERF	8N	20-Oct	L95	2	ROT4	Corn	TILTIL2	DWM1	1.120411	0.577	N/A	0.35093595	0.34984099	0.344567883	0.10693
2015	SERF	8N	20-Oct	M9	2	ROT4	Corn	TILTIL2	DWM1	1.361870805	0.486	N/A	0.428993	0.416922278	0.39582005	0.11294
2011	SERF	8N	20 - 40	1	2	ROT4	Corn	TILTIL2	DWM1	1.398	DNC		DNC	DNC	DNC	DNC
2013	SERF	8N	20 - 40	1	2	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	8N	20 - 40	1	2	ROT4	Corn	TILTIL2	DWM1	1.208143	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	20 - 40	2	2	ROT4	Corn	TILTIL2	DWM1	1.322	DNC		DNC	DNC	DNC	DNC
2015	SERF	8N	20 - 40	2	2	ROT4	Corn	TILTIL2	DWM1	1.318003	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	20 - 40	3	2	ROT4	Corn	TILTIL2	DWM1	1.268	DNC		DNC	DNC	DNC	DNC
2015	SERF	8N	20 - 40	3	2	ROT4	Corn	TILTIL2	DWM1	1.2855	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	20 - 40	4	2	ROT4	Corn	TILTIL2	DWM1	1.285	DNC		DNC	DNC	DNC	DNC
2011	SERF	8N	30 - 60	1	2	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	8N	30 - 60	1	2	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	8N	30 - 60	1	2	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	8N	30 - 60	1	2	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8N	40 - 60	1	2	ROT4	Corn	TILTIL2	DWM1	1.428	DNC		DNC	DNC	DNC	DNC
2013	SERF	8N	40 - 60	1	2	ROT4	Corn	TILTIL2	DWM1							
2015	SERF	8N	40 - 60	1	2	ROT4	Corn	TILTIL2	DWM1	1.340713	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	40 - 60	2	2	ROT4	Corn	TILTIL2	DWM1	1.39	DNC		DNC	DNC	DNC	DNC
2015	SERF	8N	40 - 60	2	2	ROT4	Corn	TILTIL2	DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	40 - 60	3	2	ROT4	Corn	TILTIL2	DWM1	1.403	DNC		DNC	DNC	DNC	DNC
2015	SERF	8N	40 - 60	3	2	ROT4	Corn	TILTIL2	DWM1	DNC	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8N	40 - 60	4	2	ROT4	Corn	TILTIL2	DWM1	1.375	DNC		DNC	DNC	DNC	DNC
2011	SERF	8N	60 - 90	1	2	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	8N	60 - 90	1	2	ROT4	Soybean	TILTIL2	DWM1							
2014	SERF	8N	60 - 90	1	2	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	8N	60 - 90	1	2	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8N		1	2	ROT4	Corn	TILTIL2	DWM1							
2012	SERF	8N		1	2	ROT4	Soybean	TILTIL2	DWM1							
2013	SERF	8N		1	2	ROT4	Corn	TILTIL2	DWM1							
2014	SERF	8N		1	2	ROT4	Soybean	TILTIL2	DWM1							
2015	SERF	8N		1	2	ROT4	Corn	TILTIL2	DWM1							
2011	SERF	8S	0 - 10	1	2	ROT5	Soybean	TILTIL2	DWM1							
2013	SERF	8S	0 - 10	1	2	ROT5	Soybean	TILTIL2	DWM1							
2015	SERF	8S	0 - 10	1	2	ROT5	Soybean	TILTIL2	DWM1	1.020101	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8S	0 - 10	2	2	ROT5	Soybean	TILTIL2	DWM1	1.152909	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	0 - 10	355	2	ROT5	Soybean	TILTIL2	DWM1	1.5	0.31		0.27	0.27	0.27	0.13
2015	SERF	8S	0 - 10	3	2	ROT5	Soybean	TILTIL2	DWM1	1.317729	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8S	0 - 10	4	2	ROT5	Soybean	TILTIL2	DWM1	1.343605	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8S	0 - 10	C80	2	ROT5	Soybean	TILTIL2	DWM1	1.53	0.423	0.389	0.3	0.3	0.3	0.1803
2013	SERF	8S	0 - 10	G71	2	ROT5	Soybean	TILTIL2	DWM1	1.45	0.452	0.439	0.35	0.35	0.35	0.11475
2013	SERF	8S	0 - 10	G88	2	ROT5	Soybean	TILTIL2	DWM1	1.44	0.458	0.442	0.42	0.41	0.41	0.12115
2013	SERF	8S	0 - 10	H55	2	ROT5	Soybean	TILTIL2	DWM1	1.06	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	0 - 10	j30	2	ROT5	Soybean	TILTIL2	DWM1	1.44	0.45		0.4	0.39	0.38	0.15
2011	SERF	8S	0 - 10	p34	2	ROT5	Soybean	TILTIL2	DWM1	1.44	0.39		0.37	0.37	0.36	0.13
2011	SERF	8S	0 - 10	p46	2	ROT5	Soybean	TILTIL2	DWM1	1.39	0.46		0.42	0.42	0.41	0.17
2011	SERF	8S	0 - 30	1	2	ROT5	Soybean	TILTIL2	DWM1							
2012	SERF	8S	0 - 30	1	2	ROT5	Corn	TILTIL2	DWM1							
2014	SERF	8S	0 - 30	1	2	ROT5	Corn	TILTIL2	DWM1							
2015	SERF	8S	0 - 30	1	2	ROT5	Soybean	TILTIL2	DWM1							
2011	SERF	8S	20-Oct	1	2	ROT5	Soybean	TILTIL2	DWM1	1.45	N/A		0.45	0.45	0.44	0.12
2013	SERF	8S	20-Oct	1	2	ROT5	Soybean	TILTIL2	DWM1							
2015	SERF	8S	20-Oct	1	2	ROT5	Soybean	TILTIL2	DWM1	1.220307	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20-Oct	2	2	ROT5	Soybean	TILTIL2	DWM1	1.38	N/A		0.48	0.47	0.46	0.1
2015	SERF	8S	20-Oct	2	2	ROT5	Soybean	TILTIL2	DWM1	1.365792	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20-Oct	3	2	ROT5	Soybean	TILTIL2	DWM1	1.54	N/A		0.42	0.42	0.41	0.1
2015	SERF	8S	20-Oct	3	2	ROT5	Soybean	TILTIL2	DWM1	1.375618	DNC	DNC	DNC	DNC	DNC	DNC
2015	SERF	8S	20-Oct	4	2	ROT5	Soybean	TILTIL2	DWM1	1.436245	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8S	20-Oct	G30	2	ROT5	Soybean	TILTIL2	DWM1	1.36	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8S	20-Oct	I86	2	ROT5	Soybean	TILTIL2	DWM1	1.43	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8S	20-Oct	N55	2	ROT5	Soybean	TILTIL2	DWM1	1.29	DNC	DNC	DNC	DNC	DNC	DNC
2013	SERF	8S	20-Oct	N68	2	ROT5	Soybean	TILTIL2	DWM1	1.41	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20 - 40	1	2	ROT5	Soybean	TILTIL2	DWM1	1.385	DNC		DNC	DNC	DNC	DNC
2013	SERF	8S	20 - 40	1	2	ROT5	Soybean	TILTIL2	DWM1							
2015	SERF	8S	20 - 40	1	2	ROT5	Soybean	TILTIL2	DWM1	1.266427	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20 - 40	2	2	ROT5	Soybean	TILTIL2	DWM1	1.345	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	20 - 40	2	2	ROT5	Soybean	TILTIL2	DWM1	1.327454	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20 - 40	3	2	ROT5	Soybean	TILTIL2	DWM1	1.445	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	20 - 40	3	2	ROT5	Soybean	TILTIL2	DWM1	1.365317	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	20 - 40	4	2	ROT5	Soybean	TILTIL2	DWM1	1.378	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	20 - 40	4	2	ROT5	Soybean	TILTIL2	DWM1	1.444111	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	30 - 60	1	2	ROT5	Soybean	TILTIL2	DWM1							
2012	SERF	8S	30 - 60	1	2	ROT5	Corn	TILTIL2	DWM1							
2014	SERF	8S	30 - 60	1	2	ROT5	Corn	TILTIL2	DWM1							
2015	SERF	8S	30 - 60	1	2	ROT5	Soybean	TILTIL2	DWM1							
2011	SERF	8S	40 - 60	1	2	ROT5	Soybean	TILTIL2	DWM1	1.415	DNC		DNC	DNC	DNC	DNC
2013	SERF	8S	40 - 60	1	2	ROT5	Soybean	TILTIL2	DWM1							
2015	SERF	8S	40 - 60	1	2	ROT5	Soybean	TILTIL2	DWM1	1.301201	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	40 - 60	2	2	ROT5	Soybean	TILTIL2	DWM1	1.43	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	40 - 60	2	2	ROT5	Soybean	TILTIL2	DWM1	1.359079	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	40 - 60	3	2	ROT5	Soybean	TILTIL2	DWM1	1.406	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	40 - 60	3	2	ROT5	Soybean	TILTIL2	DWM1	1.375546	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	40 - 60	4	2	ROT5	Soybean	TILTIL2	DWM1	1.412	DNC		DNC	DNC	DNC	DNC
2015	SERF	8S	40 - 60	4	2	ROT5	Soybean	TILTIL2	DWM1	1.443967	DNC	DNC	DNC	DNC	DNC	DNC
2011	SERF	8S	60 - 90	1	2	ROT5	Soybean	TILTIL2	DWM1							
2012	SERF	8S	60 - 90	1	2	ROT5	Corn	TILTIL2	DWM1							
2014	SERF	8S	60 - 90	1	2	ROT5	Corn	TILTIL2	DWM1							
2015	SERF	8S	60 - 90	1	2	ROT5	Soybean	TILTIL2	DWM1							
2011	SERF	8S		1	2	ROT5	Soybean	TILTIL2	DWM1							
2012	SERF	8S		1	2	ROT5	Corn	TILTIL2	DWM1							
2013	SERF	8S		1	2	ROT5	Soybean	TILTIL2	DWM1							
2014	SERF	8S		1	2	ROT5	Corn	TILTIL2	DWM1							
2015	SERF	8S		1	2	ROT5	Soybean	TILTIL2	DWM1							
2011	STJOHNS	WN1	0 - 10	1	1	ROT62		TIL2	DWM3	1.448368631	0.447	0.440773276	0.419845351	0.409510074	0.384161531	0.286825966
2013	STJOHNS	WN1	0 - 10	1	1	ROT62		TIL2	DWM3	1.154	0.497	DNC	0.403	0.372	0.343	0.178
2015	STJOHNS	WN1	0 - 10	1	1	ROT62		TIL2	DWM3	DNC	DNC	DNC	DNC	DNC	DNC	0.15504
2011	STJOHNS	WN1	0 - 10	2	1	ROT62		TIL2	DWM3	1.4318918	0.438	0.425331061	0.410084706	0.400477835	0.371195898	DNC
2013	STJOHNS	WN1	0 - 10	2	1	ROT62		TIL2	DWM3	1.221	0.504	DNC	0.434	0.388	0.361	0.185
2015	STJOHNS	WN1	0 - 10	2	1	ROT62		TIL2	DWM3	DNC	DNC	DNC	DNC	DNC	DNC	0.10638
2011	STJOHNS	WN1	0 - 10	3	1	ROT62		TIL2	DWM3	1.494006681	0.427	0.422271754	0.40833653	0.401934647	0.38168495	DNC
2013	STJOHNS	WN1	0 - 10	3	1	ROT62		TIL2	DWM3	1.084	0.514	DNC	0.396	0.347	0.317	0.165
2015	STJOHNS	WN1	0 - 10	3	1	ROT62		TIL2	DWM3	DNC	DNC	DNC	DNC	DNC	DNC	0.13934
2011	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2011	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2012	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2013	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2014	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2015	STJOHNS	WN1	0 - 30	1	1	ROT62		TIL2	DWM3							
2011	STJOHNS	WN1	20-Oct	1	1	ROT62		TIL2	DWM3	1.417668127	0.43	0.414696327	0.364340784	0.355899363	0.34293373	0.28792577
2013	STJOHNS	WN1	20-Oct	1	1	ROT62		TIL2	DWM3	1.173	0.552	DNC	0.422	0.377	0.339	0.175
2015	STJOHNS	WN1	20-Oct	1	1	ROT62		TIL2	DWM3	DNC	DNC	DNC	DNC	DNC	DNC	0.16495
2011	STJOHNS	WN1	20-Oct	2	1	ROT62		TIL2	DWM3	1.451835711	0.431	0.420232216	0.371479167	0.364931603	0.349635068	DNC
2013	STJOHNS	WN1	20-Oct	2	1	ROT62		TIL2	DWM3	1.18	0.551	DNC	0.439	0.393	0.356	0.188
